Category: All categories

Week,Sociology: (United States)
2021-04-25,72
2021-05-02,78
2021-05-09,69
2021-05-16,54
2021-05-23,52
2021-05-30,37
2021-06-06,47
2021-06-13,42
2021-06-20,39
2021-06-27,38
2021-07-04,41
2021-07-11,42
2021-07-18,39
2021-07-25,38
2021-08-01,41
2021-08-08,39
2021-08-15,52
2021-08-22,87
2021-08-29,99
2021-09-05,95
2021-09-12,96
2021-09-19,100
2021-09-26,99
2021-10-03,84
2021-10-10,86
2021-10-17,87
2021-10-24,96
2021-10-31,83
2021-11-07,79
2021-11-14,82
2021-11-21,49
2021-11-28,75
2021-12-05,90
2021-12-12,75
2021-12-19,32
2021-12-26,29
2022-01-02,51
2022-01-09,70
2022-01-16,79
2022-01-23,94
2022-01-30,86
2022-02-06,86
2022-02-13,78
2022-02-20,76
2022-02-27,75
2022-03-06,68
2022-03-13,59
2022-03-20,69
2022-03-27,70
2022-04-03,70
2022-04-10,61
2022-04-17,68
